Id,Name,English_Name,Type,Source,Episodes,Airing,Aired_From,Aired_To,Duration,Rating,Score,Scored_By,Rank,Popularity,Members,Favorites,Season,Year,Broadcast_Day,Broadcast_Time,Producers,Licensors,Studios,Genres,Themes
18295,Kakumeiki Valvrave 2nd Season,Valvrave the Liberator 2nd Season,TV,Original,12,False,2013-10-10 00:00:00+00:00,2013-12-27 00:00:00+00:00,24,R - 17+ (violence & profanity),7.25,53832,3065.0,2246,95053,199,fall,2013,,,"Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Bandai, Bandai Namco Entertainment",Aniplex of America,Sunrise,"Action, Sci-Fi","Mecha, Military, Space"
27969,Hana to Alice: Satsujin Jiken,The Case of Hana & Alice,Movie,Original,1,False,2015-02-20 00:00:00+00:00,,98,PG-13 - Teens 13 or older,7.25,13859,3059.0,3388,46130,228,winter,2015,,,"Pony Canyon, Nippon Television Network, Shogakukan",GKIDS,"Steve N' Steven, Rockwell Eyes","Award Winning, Drama, Mystery",
36803,Servamp Movie: Alice in the Garden,Servamp Movie: Alice in the Garden,Movie,Manga,1,False,2018-04-07 00:00:00+00:00,,58,PG-13 - Teens 13 or older,7.25,7573,3032.0,4280,28797,43,spring,2018,,,,,Platinum Vision,"Action, Fantasy",Vampire
35581,Oide yo! Mizuryuu Kei Land,Oide yo! Mizuryuu Kei Land,OVA,Manga,2,False,2017-08-25 00:00:00+00:00,2017-09-29 00:00:00+00:00,16,Rx - Hentai,7.25,8994,,5111,19322,181,summer,2017,,,Lune-Pictures,,T-Rex,Hentai,
11879,Oni Chichi: Re-born,Oni Chichi: Re-born,OVA,Visual novel,2,False,2011-12-22 00:00:00+00:00,2012-12-28 00:00:00+00:00,30,Rx - Hentai,7.25,17163,,4004,33505,130,winter,2011,,,,,PoRO,Hentai,
5060,Hetalia Axis Powers,Hetalia Axis Powers,ONA,Web manga,52,False,2009-01-24 00:00:00+00:00,2010-03-05 00:00:00+00:00,5,PG-13 - Teens 13 or older,7.25,128312,3061.0,984,258692,4241,winter,2009,,,"Frontier Works, DAX Production",Funimation,Studio Deen,Comedy,"Anthropomorphic, Gag Humor, Historical, Parody"
5034,Shikabane Hime: Kuro,Corpse Princess: Kuro,TV,Manga,12,False,2009-01-01 00:00:00+00:00,2009-03-26 00:00:00+00:00,24,R - 17+ (violence & profanity),7.25,33141,3034.0,2517,78399,122,winter,2009,,,"Square Enix, Starchild Records",Funimation,"Gainax, feel.","Action, Horror, Supernatural",
35949,Kidou Senshi Gundam Thunderbolt: Bandit Flower,Mobile Suit Gundam Thunderbolt: Bandit Flower,Movie,Manga,1,False,2017-11-18 00:00:00+00:00,,89,R+ - Mild Nudity,7.25,7950,3065.0,5490,15965,30,fall,2017,,,,NYAV Post,Sunrise,"Action, Drama, Sci-Fi","Mecha, Military, Space"
40246,Love Live! School Idol Festival All Stars,Love Live! School Idol Festival All Stars,ONA,Other,1,False,2018-09-19 00:00:00+00:00,,4,PG-13 - Teens 13 or older,7.25,1846,3069.0,8459,5494,14,fall,2018,,,,,Sunrise,,Music
32566,Noblesse: Pamyeol-ui Sijak,Noblesse: Pamyeol-ui Sijak,OVA,Web manga,1,False,2015-12-04 00:00:00+00:00,,37,R - 17+ (violence & profanity),7.25,25351,3075.0,3039,56283,107,winter,2015,,,,,Studio Animal,"Action, Adventure, Supernatural",
40587,Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,Movie,Original,1,False,2020-10-31 00:00:00+00:00,,70,G - All Ages,7.25,1229,3077.0,10020,3311,5,fall,2020,,,,,Toei Animation,Action,"Mahou Shoujo, Time Travel"
34618,Blend S,BLEND-S,TV,4-koma manga,12,False,2017-10-08 00:00:00+00:00,2017-12-24 00:00:00+00:00,23,PG-13 - Teens 13 or older,7.25,377405,3051.0,321,673744,2972,fall,2017,Sundays,00:30,"Aniplex, Houbunsha, Kansai Telecasting, Lawson, Contents Seed, Kinoshita Group Holdings, Drecom",Aniplex of America,A-1 Pictures,Comedy,"Otaku Culture, Workplace"
30547,Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,OVA,Game,1,False,2014-05-11 00:00:00+00:00,,11,PG-13 - Teens 13 or older,7.25,4429,3039.0,6338,11115,45,spring,2014,,,Maikaze,,,Fantasy,
8363,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,Movie,Manga,1,False,2003-04-19 00:00:00+00:00,,90,G - All Ages,7.25,3231,3053.0,8320,5718,7,spring,2003,,,TV Asahi,,Shin-Ei Animation,"Action, Adventure, Comedy",
